Sanger_Sample_ID,Pool,Original_well,Run,Lane,Tag,Replicate,Source_sample,Species,Conc_ng_ul,Note
GbS8784556,8010,A1,33516,1,1,8010_e1_f15_un1,8010_e1_f15_un1,Anopheles_stephensi,0.74,"stephensi (unfed 1) 1st lysis, 0.74ng/ul"
GbS8784557,8010,B1,33516,1,2,8010_e1_f15_un2,8010_e1_f15_un2,Anopheles_stephensi,0.57,"stephensi (unfed 2) 1st lysis, 0.57ng/ul"
GbS8784558,8010,C1,33516,1,3,8010_e1_f15_un3,8010_e1_f15_un3,Anopheles_stephensi,0.59,"stephensi (unfed 3) 1st lysis, 0.59ng/ul"
GbS8784559,8010,D1,33516,1,4,8010_e1_f15_un4,8010_e1_f15_un4,Anopheles_stephensi,0.52,"stephensi (unfed 4) 1st lysis, 0.52ng/ul"
GbS8784560,8010,E1,33516,1,5,8010_e1_f15_un5,8010_e1_f15_un5,Anopheles_stephensi,0.51,"stephensi (unfed 5) 1st lysis, 0.51ng/ul"
GbS8784561,8010,F1,33516,1,6,8010_e1_f15_un6,8010_e1_f15_un6,Anopheles_stephensi,0.64,"stephensi (unfed 6) 1st lysis, 0.64ng/ul"
GbS8784562,8010,G1,33516,1,7,8010_e1_f15_un7,8010_e1_f15_un7,Anopheles_stephensi,0.63,"stephensi (unfed 7) 1st lysis, 0.63ng/ul"
GbS8784563,8010,H1,33516,1,8,8010_e1_f15_un8,8010_e1_f15_un8,Anopheles_stephensi,0.58,"stephensi (unfed 8) 1st lysis, 0.58ng/ul"
GbS8784564,8010,A2,33516,1,9,8010_e1_f15_1d1,8010_e1_f15_1d1,Anopheles_stephensi,0.97,"feed 15 - 24h 1 - 1st lysis, 0.97ng/ul"
GbS8784565,8010,B2,33516,1,10,8010_e1_f15_1d2,8010_e1_f15_1d2,Anopheles_stephensi,1.51,"feed 15 - 24h 2 - 1st lysis, 1.51ng/ul"
GbS8784566,8010,C2,33516,1,11,8010_e1_f15_1d3,8010_e1_f15_1d3,Anopheles_stephensi,1.03,"feed 15 - 24h 3 - 1st lysis, 1.03ng/ul"
GbS8784567,8010,D2,33516,1,12,8010_e1_f15_1d4,8010_e1_f15_1d4,Anopheles_stephensi,1.06,"feed 15 - 24h 4 - 1st lysis, 1.06ng/ul"
GbS8784568,8010,E2,33516,1,13,8010_e1_f15_1d5,8010_e1_f15_1d5,Anopheles_stephensi,1.04,"feed 15 - 24h 5 - 1st lysis, 1.04ng/ul"
